id,name,canopy_percentage,total_area (km2),area_with_canopy (km2)
1,Piri Reis Mahallesi,1,0.77,0.01
2,Necip Fazıl Kısakürek Mahallesi,2,0.34,0.01
3,Hürriyet Mahallesi,2,0.57,0.01
4,Şehitler Mahallesi,2,0.28,0.01
5,Hürriyet Mahallesi,2,0.53,0.01
6,Alipaşa Mahallesi,2,34.37,0.84
7,Küçük Kılıçlı Mahallesi,3,9.79,0.31
8,Osmangazi Mahallesi,3,3.64,0.12
9,Gazitepe Mahallesi,4,17.83,0.62
10,Yeşilce Mahallesi,4,0.38,0.01
11,Fener Mahallesi,4,38.38,1.40
12,Yenigün Mahallesi,4,0.28,0.01
13,Yeşiltepe Mahallesi,4,0.22,0.01
14,Gökevler Mahallesi,4,1.16,0.05
15,Mareşal Çakmak Mahallesi,4,0.37,0.01
16,Nine Hatun Mahallesi,4,0.50,0.02
17,Yeni Mahalle,4,23.98,0.99
18,Nuripaşa Mahallesi,4,0.35,0.01
19,Sanayi Mahallesi,4,0.71,0.03
20,Çakmaklı Mahallesi,4,5.52,0.24
21,Sazlıbosna Mahallesi,5,20.80,0.95
22,İsmetpaşa Mahallesi,5,0.93,0.04
23,Şerifali Mahallesi,5,1.23,0.06
24,Vatan Mahallesi,5,0.23,0.01
25,Kadıköy Mahallesi,5,20.63,0.99
26,Siyavuşpaşa Mahallesi,5,0.81,0.04
27,Selahaddin Eyyubi Mahallesi,5,2.63,0.13
28,Akçaburgaz Mahallesi,5,6.33,0.31
29,Turgut Reis Mahallesi,5,0.59,0.03
30,Haznedar Mahallesi,5,0.36,0.02
31,Talatpaşa Mahallesi,5,0.47,0.02
32,Yolçatı Mahallesi,5,10.99,0.59
33,Fındıklı Mahallesi,5,1.17,0.06
34,Esentepe Mahallesi,5,1.75,0.10
35,Emniyetevleri Mahallesi,6,0.19,0.01
36,Saadetdere Mahallesi,6,0.35,0.02
37,Feriköy Mahallesi,6,0.24,0.01
38,Namık Kemal Mahallesi,6,0.55,0.03
39,Kazım Karabekir Mahallesi,6,0.43,0.02
40,Karaağaç Mahallesi,6,28.10,1.66
41,Akıncılar Mahallesi,6,0.26,0.02
42,Mescit Mahallesi,6,4.27,0.25
43,Kamiloba Mahallesi,6,14.10,0.83
44,Mimar Sinan Mahallesi,6,0.17,0.01
45,Altınşehir Mahallesi,6,0.85,0.05
46,Telsiz Mahallesi,6,0.55,0.03
47,Semizkumlar Mahallesi,6,13.52,0.82
48,Çilingir Mahallesi,6,12.83,0.79
49,Fatih Mahallesi,6,0.66,0.04
50,Davutpaşa Mahallesi,6,0.21,0.01
51,Malkoçoğlu Mahallesi,6,0.63,0.04
52,Gökalp Mahallesi,6,0.29,0.02
53,Soğanlı Mahallesi,6,0.96,0.06
54,Fatih Mahallesi,6,0.51,0.03
55,Çınar Mahallesi,6,0.53,0.03
56,50. Yıl Mahallesi,6,1.14,0.07
57,Sultançiftliği Mahallesi,6,0.61,0.04
58,Nakkaş Mahallesi,6,46.67,2.97
59,Akşemseddin Mahallesi,6,0.71,0.05
60,Ergenekon Mahallesi,6,0.10,0.01
61,Evliya Çelebi Mahallesi,6,0.06,0.00
62,İzzettin Mahallesi,7,22.91,1.50
63,Selimpaşa Mahallesi,7,18.05,1.19
64,Barbaros Hayrettin Paşa Mahallesi,7,1.09,0.07
65,Çırpıcı Mahallesi,7,0.38,0.03
66,Sultan Murat Mahallesi,7,0.26,0.02
67,Halaskargazi Mahallesi,7,0.10,0.01
68,Menderes Mahallesi,7,0.45,0.03
69,Mehmet Akif Mahallesi,7,1.10,0.07
70,Ömerli Mahallesi,7,10.62,0.72
71,Ferhatpaşa SB Mahallesi,7,0.39,0.03
72,Deliklikaya Mahallesi,7,5.77,0.40
73,Bağlarçeşme Mahallesi,7,0.60,0.04
74,Zafer Mahallesi,7,1.08,0.08
75,Atatürk Mahallesi,7,1.57,0.11
76,Pınar Mahallesi,7,0.70,0.05
77,Ovayenice Mahallesi,7,20.03,1.42
78,Güven Mahallesi,7,0.32,0.02
79,Çukur Mahallesi,7,0.05,0.00
80,Yenidoğan Mahallesi,7,0.16,0.01
81,Muratbey Merkez Mahallesi,7,18.95,1.36
82,Bahşayiş Mahallesi,7,9.22,0.67
83,Adnan Menderes Mahallesi,7,2.25,0.16
84,Şirinevler Mahallesi,7,1.09,0.08
85,Tepeüstü Mahallesi,7,0.43,0.03
86,Kavaklı İstiklal Mahallesi,7,9.46,0.70
87,Ferhatpaşa Mahallesi,7,25.62,1.90
88,Ortabayır Mahallesi,7,0.38,0.03
89,Merkez Mahallesi,7,0.85,0.06
90,Celaliye Mahallesi,7,13.31,1.00
91,Firuzköy Mahallesi,8,12.44,0.93
92,Mehmet Akif Mahallesi,8,0.74,0.06
93,Çakmak Mahallesi,8,0.86,0.06
94,Yeşilbayır Mahallesi,8,14.19,1.07
95,Rüstempaşa Mahallesi,8,0.10,0.01
96,Nenehatun Mahallesi,8,1.23,0.09
97,Muratpaşa Mahallesi,8,0.81,0.06
98,İzzetpaşa Mahallesi,8,0.18,0.01
99,Göztepe Mahallesi,8,1.62,0.12
100,Sanayi Mahallesi,8,13.74,1.06
101,Çeliktepe Mahallesi,8,0.52,0.04
102,İncirtepe Mahallesi,8,0.38,0.03
103,Duatepe Mahallesi,8,0.14,0.01
104,Sururi Mahallesi,8,0.06,0.00
105,Merkez Mahallesi,8,0.79,0.06
106,Güzelyurt Mahallesi,8,0.97,0.08
107,Yeniköy Mahallesi,8,32.39,2.61
108,Yeşilkent Mahallesi,8,5.07,0.41
109,Yavuz Selim Mahallesi,8,0.24,0.02
110,Barbaros Hayrettin Paşa Mahallesi,8,0.92,0.08
111,Bozkurt Mahallesi,8,0.18,0.01
112,Koza Mahallesi,8,1.36,0.11
113,Mimar Sinan Mahallesi,8,8.41,0.70
114,Kumburgaz Mahallesi,8,4.04,0.34
115,Kemalpaşa Mahallesi,8,0.57,0.05
116,Şemsipaşa Mahallesi,8,0.36,0.03
117,Yunus Emre Mahallesi,8,0.49,0.04
118,Başakşehir Mahallesi,8,8.25,0.69
119,Asmalı Mescit Mahallesi,8,0.09,0.01
120,Örnek Mahallesi,8,0.50,0.04
121,Çanta Sancaktepe Mahallesi,9,15.63,1.34
122,Battalgazi Mahallesi,9,0.56,0.05
123,İstiklal Mahallesi,9,0.44,0.04
124,Yenidoğan Mahallesi,9,0.82,0.07
125,İstiklal Mahallesi,9,1.00,0.09
126,Beylikdüzü Organize Sanayi Bölgesi,9,1.52,0.14
127,Kayışdağı Mahallesi,9,1.83,0.16
128,Yeşilkent Mahallesi,9,1.10,0.10
129,Tatlısu Mahallesi,9,1.02,0.09
130,Fatih Mahallesi,9,2.74,0.25
